Name_Unificado,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
"""Nuke It""",,,,,
#IDARB,,,,,
#killallzombies,,,,,
'70s Robot Anime: Geppy-X,,,,,
'98 Koshien,0.15,0.1,0.12,0.03,0.41
'99 Koshien,,,,,
'Splosion Man,,,,,
(c-12) Final Resistance,,,,,
- Arcane RERaise -,,,,,
- Arcane Raise -,,,,,
- Arcane preRaise -,,,,,
...Iru!,,,,,
.deTuned,,,,,
Hula Wii: Hula de Hajimeru - Bi to Kenkou!,,,,,
Hula Wii: Motto Jouzu no Fura o Odorou!!,,,,,
Hulk,0.92,0.52,,0.16,1.58
Hulk Hogan's Main Event,0.1,0.02,,0.01,0.13
Hulu,,,,,
Human Cannonball,,,,,
Human Element,,,,,
Human Grand Prix III: F1 Triple Battle,,,,,
Human Grand Prix IV: F1 Dream Battle,,,,,
Human Resource Machine,,,,,
Human: Fall Flat,,,,,
Humanity Asset,,,,,
Hummer Badlands,0.03,0.02,,0.01,0.07
Hundred Swords,,,,,
Hunger Games: Catching Fire - Panem Run,,,,,
Hungry Dinosaurs,,,,,
Hungry Ghosts,,,,,
Hungry Giraffe,,,,,
Hungry Shark - Part 1,,,,,
Hungry Shark Evolution,,,,,
HunieCam Studio,,,,,
HuniePop,,,,,
Hunt & Score,,,,,
Hunt: Horrors of the Gilded Age,,,,,
Huntdown,,,,,
Hunted: The Demon's Forge,0.28,0.17,0.02,0.05,0.52
Hunter Dan's Fishing,,,,,
Hunter Hunted,,,,,
Hunter X Hunter,,,,,
Hunter X Hunter: Greed Island,,,,,
Hunter X Hunter: Michikareshi Mono,,,,,
Hunter X Hunter: Minna Tomodachi Daisakusen!!,,,,,
Hunter X Hunter: Ryumyaku no Saidan,,,,,
Hunter X Hunter: Sorezore no Ketsui,,,,,
Hunter x Hunter: Battle Allstars,,,,,
Hunter x Hunter: Wonder Adventure,,,0.04,,0.04
Hunter: The Reckoning,0.36000000000000004,0.1,,0.01,0.48
Hunter: The Reckoning Redeemer,0.13,0.04,,0.01,0.17
Hunter: The Reckoning Wayward,0.21,0.16,,0.06,0.43
Hunters Of The Dead,,,,,
HuntersLunch,,,,,
Hunting Simulator,0.13,,,0.02,0.15
Hunting Unlimited,,,,,
Hunting Unlimited 2,,,,,
Hunting Unlimited 2008,,,,,
Hunting Unlimited 2009,,,,,
Hunting Unlimited 2010,,,,,
Hunting Unlimited 2011,,,,,
Hunting Unlimited 3,,,,,
Hunting Unlimited 4,,,,,
Hunting Unlimited Trophy Collection,,,,,
Hunting Unlimited: Expedition 3 Pack,,,,,
Hurricane,,,,,
Hurricanes,,,,,
Hurry Up Hedgehog!,0.02,,,0.0,0.02
Hustle Kings,,,,,
Hustle Kings VR,,0.0,,0.0,0.0
Huxley: The Dystopia,,,,,
Hyakka Hyakurou: Sengoku Ninpoujou,,,0.04,,0.04
Hyakka Yakou,,,0.02,,0.02
Hyakki Yagyou Kaidan Romance,,,0.01,,0.01
Hyakko: Yorozuya Jikenbo!,,,0.0,,0.0
Hyaku Monogatari: Kaidan Romance,,,0.01,,0.01
Hyakumanton no Bara Bara,,,0.03,,0.03
Hybrid,,,,,
Hybrid Heaven,0.16,0.04,0.05,0.0,0.25
Hydlide,,,,,
Hydlide 3: Yami Kara no Houmonsha,,,,,
Hydra,,,,,
Hydro Electric Worker,,,,,
Hydro Thunder,0.39,0.2,,0.03,0.62
Hydro Thunder Hurricane,,,,,
Hydro Thunder Hurricane: Tempest Pack,,,,,
Hydrophobia,,,,,
Hydrophobia: Prophecy,,,,,
Hype: The Time Quest,,,,,
Hyper 3-D Pinball,,,,,
Hyper Black Bass '95,,,,,
Hyper Duel,,,,,
Hyper Dyne Side Arms Special,,,,,
Hyper Fighters,0.01,,,0.0,0.01
Hyper Force,,,,,
Hyper Formation Soccer,,,0.1,0.01,0.11
Hyper Light Drifter,,,0.01,,0.01
Hyper Light Drifter - Special Edition,,,,,
Hyper Lode Runner,,,,,
Hyper Reverthion,,,,,
Hyper Securities 2,,,,,
Hyper Securities S,,,,,
Hyper Street Fighter II: The Anniversary Edition,,,,,
Hyper V-Ball,,,,,
Hyper color ball,,,,,
HyperBlade,,,,,
HyperZone,,,,,
Hyperballoid HD,,,,,
Hyperdevotion Noire: Goddess Black Heart,,,,,
Hyperdimension Idol Neptunia PP,0.02,0.02,0.04,0.01,0.1
Hyperdimension Neptunia,0.22,0.1,0.07,0.04,0.44
Hyperdimension Neptunia Re;Birth 3: V Generation,0.05,0.02,0.07,0.02,0.17
Hyperdimension Neptunia Re;Birth1,0.05,,0.07,0.02,0.14
Hyperdimension Neptunia Re;Birth1 Plus,,,0.01,,0.01
Hyperdimension Neptunia Re;Birth2 Sisters Generation,,,,,
Hyperdimension Neptunia Re;Birth2: Sisters Generation,0.03,0.01,0.05,0.01,0.1
Hyperdimension Neptunia U: Action Unleashed,0.04,0.01,0.06,0.02,0.13
Hyperdimension Neptunia Victory,0.05,0.04,0.06,0.02,0.17
Hyperdimension Neptunia mk2,,0.01,,0.0,0.01
Hyperdrome,,,,,
Hypnotizing,,,,,
Hyposphere,,,,,
Hyrule Warriors,0.59,0.44,0.13,0.1,1.26
Hyrule Warriors Legends,0.17,0.16,0.12,0.03,0.49
Hyrule Warriors: Definitive Edition,0.21,0.15,0.07,0.03,0.46
Hysteria Hospital: Emergency Ward,0.15000000000000002,0.0,,0.01,0.16
Hysteria Project,,,,,
Hysteria Project 2,,,,,
Hyu~Stone,,,,,
I Am Alive,,,,,
I Am Bread,,,,,
I C REDD,,,,,
I Did It Mum! Dolls House,,,,,
I Doll U,,,0.02,,0.02
I Don't Have Many Friends Portable,,,0.07,,0.07
"I Have No Mouth, and I Must Scream",,,,,
I Heart Geeks,0.02,,,0.0,0.03
I Heart Shift,,,,,
I Kill Zombies,,,,,
I Love Beauty: Hollywood Makeover,0.06,,,0.0,0.06
I Love Dolphin,,,,,
I Love Horses,0.21,0.0,,0.01,0.23
I Love Horses: Rider's Paradise,0.01,,,0.0,0.02
I Love Puppies,0.09,,,0.01,0.09
I MAED A GAM3 W1TH Z0MB1ES!!!1,,,,,
I Must Run!,,,,,
I SPY castle,0.17,,,0.02,0.19
I Spy Challenger!,0.0,0.0,,0.0,0.0
I Spy Treasure Hunt,,,,,
I Spy: Fun House,0.76,,,0.06,0.82
I Spy: Spooky Mansion,0.27,,,0.02,0.3
I Spy: Universe,0.12,,,0.01,0.13
I Want My Mommy,,,,,
I am Setsuna,,,0.19,,0.19
I am a Teacher: Super Mario no Sweater (FDS),,,,,
I and Me,,,,,
I ate colors,,,,,
I did it Mum! Picture Book,,0.0,,0.0,0.0
I of the Enemy,,,,,
I'm A Celebrity: Get Me Out of Here!,,0.2,,0.01,0.21000000000000002
I'm O.K - A Murder Simulator,,,,,
I'm not Alone,,,,,
I've Got to Run!,,,,,
"I, Zombie",,,,,
"I,Gladiator",,,,,
I-Fluid,,,,,
I-Ninja,0.31,0.19,,0.05,0.56
I-Sing,,,,,
I-War,,,,,
I.Q. Mania,,,0.01,,0.01
I.Q. Remix+: Intelligent Qube,,,0.04,,0.04
I/O,,,,,
IA/VT Colorful,,,0.08,,0.08
ICEY,,,,,
ICO,0.23,0.18,0.06,0.06,0.53
IDOLiSH7 Twelve Fantasia!,,,0.03,,0.03
IGI 2: Covert Strike,,0.0,,0.0,0.0
IGPX: Immortal Grand Prix,0.0,0.0,,0.0,0.0
IGT Slots: Diamond Galaxy,,,,,
IGT Slots: Little Green Men,,,,,
IGT Slots: Lucky Larry's Lobstermania,0.04,,,0.0,0.04
IHF Handball Challenge 14,,,,,
IHRA Drag Racing 2,0.64,0.5,,0.17,1.31
IHRA Drag Racing 2004,0.15,0.04,,0.01,0.2
IHRA Drag Racing: Sportsman Edition,0.05,0.03,,0.01,0.1
IHRA Professional Drag Racing 2005,0.13,0.08,,0.02,0.25
IL-2 Sturmovik,,0.01,,0.0,0.01
IL-2 Sturmovik Series: Complete Edition,,0.0,,0.0,0.0
IL-2 Sturmovik: 1946,,0.04,,0.0,0.04
IL-2 Sturmovik: Battle of Stalingrad,,0.0,,0.0,0.0
IL-2 Sturmovik: Birds of Prey,0.7100000000000001,0.55,,0.19,1.45
IL-2 Sturmovik: Cliffs of Dover,,0.05,,0.01,0.05
IL-2 Sturmovik: Forgotten Battles,,0.02,,0.0,0.02
IL-2 Sturmovik: Forgotten Battles Ace Expansion Pack,,,,,
IL-2 Sturmovik: Forgotten Battles Gold Pack,,,,,
IL-2 Sturmovik: Operation Barbarossa,,,,,
IL-2 Sturmovik: Operation: Fall Blau,,,,,
IL-2 Sturmovik: Pe-2,,,,,
IL-2 Sturrmovik: WWII Combat Simulator,,,,,
IMSCARED,,,,,
INK,,,,,
INKUB,,,,,
INSIDE,,,,,
INSIDE / LIMBO Double Pack,0.07,,,0.01,0.07
INVERSUS Deluxe,,,,,
INXS: Make My Video,,,,,
IQ Test,,,,,
IQ Trainer,0.0,,,0.0,0.0
IRONCAST,,,,,
ISS Pro Evolution,,,0.71,0.05,0.76
Ibarado: Rapture no Kaeru Machi,,,,,
Icarus: Sanctuary of the Gods,,,,,
Ice 9,,,,,
Ice Age,0.27,0.1,,0.01,0.38
Ice Age 2: The Meltdown,0.78,0.3,,0.08,1.16
Ice Age: Dawn of the Dinosaurs,0.63,0.43000000000000005,,0.12,1.1600000000000001
Ice Climber,,,,,
Ice Cream Craze: Tycoon Takeover,,,,,
Ice Cream Surfer,,,,,
Ice Cream Tycoon,,,,,
Ice Cream Tycoon Deluxe,,,,,
Ice Hockey,0.46,0.03,,0.01,0.49
Ice Hockey (FDS),,,,,
Ice Hokey Slovakia 2011,,,,,
Ice Lakes,,,,,
Ice Nine,,,,,
Ice Trek,,,,,
Ice and Fire,,,,,
Icebreaker,,,,,
Icewind Dale,,,,,
Icewind Dale II,0.0,0.01,,0.0,0.01
Icewind Dale: Heart of Winter,,,,,
Icewind Dale: The Collection,,,,,
Icewind Dale: The Ultimate Collection,,,,,
Ichi,,,,,
Ichido wa Yonde de Okitai Nihon Bungaku 100-Sen,,,,,
Ichigeki Sacchuu!! HoiHoi-San,,,,,
Ichigeki: Hagane no Hito,,,,,
Ichigo 100% Strawberry Diary,,,,,
Ichimoo Dajin! King Cat,,,,,
Ico Soccer,,,,,
Icomania,,,,,
Icomania Guess The Icon Quiz,,,,,
Icon Pop Quiz,,,,,
Iconoclasts,,,,,
Idaten Jump DS: Moero! Flame Kaiser,,,,,
Ide Yosuke Meijin no Shinmi Sen Mahjong,,,,,
Ide Yosuke no Mahjong Juku,,,,,
Ide Yosuke no Mahjong Kazoku,,,0.04,0.0,0.04
Ide Yosuke no Mahjong Kyoshitsu,,,,,
Ide Yosuke no Mahjong Kyositsu GB,,,,,
Ide Yousuke no Kenkuo Mahjong DSi,,,,,
Idol Death Game TV,,,0.02,,0.02
Idol Hakkenden,,,,,
Idol Hanafuda Fan Club,,,,,
Idol Hands,,,,,
Idol Hotline: Nakayama Miho no Tokimeki High School (FDS),,,,,
Idol Janshi Suchi-Pai III Remix,,,,,
Idol Janshi Suchi-Pai IV Portable,,,,,
Idol Janshi Suchie-Pai IV,,,0.01,,0.01
Idol Janshi Suchie-Pai Remix,,,0.1,,0.1
Idol Janshi Suchie-Pai Special,,,,,
Idol Janshi o Tsukucchaou,,,,,
Idol Mahjong Final Romance 2: Hyper Edition,,,,,
Idol Time PriPara: Yume All-Star Live!,,,0.04,,0.04
If My Heart Had Wings,,,,,
If My Heart Had Wings -Flight Diary-,,,,,
Iggle Pop!,,,,,
Iggle Pop! Deluxe,,,,,
Iggy's Reckin' Balls,0.06,0.02,,0.0,0.08
Ignition,,,,,
Igo Time Trial: Shikatsu Daihyakka,,,,,
Igo Time Trial: Thumego 1,,,,,
Igo o Nintarou!,,,,,
Igor: The Game,0.13,0.0,,0.01,0.14
Iida Joji Nightmare Interactive: Moon Cradle- Igyou no Hanayome,,,,,
Ijikuri Mama 2,,,,,
Ikachan,,,,,
Ikamono Tantei: Ikatan,,,0.0,,0.0
Ikari III: The Rescue,,,,,
Ikari Warriors,,,,,
Ikari Warriors II: Victory Road,,,,,
Ikari no Yousai 2,,,,,
Ikaroids,,,,,
Ikaruga,0.07,0.02,,0.0,0.09
Ike Ike! Nekketsu Hockey-bu: Subette Koronde Dairantou,,,,,
Ike! Ike!! Hamster,,,,,
Ikemen Sengoku: Toki o Kakeru Koi - Aratanaru Deai,,,0.01,,0.01
Ikenai Ayaka Neesan to Yari Sugi Yuuwaku Seikatsu,,,,,
Ikenie no Yoru,,,,,
Ikibago,,,,,
Ikinari Anata ni Koishiteiru,,,,,
Ikki Tousen: Eloquent Fist,,,0.02,,0.02
Ikki Tousen: Shining Dragon,,,0.02,,0.02
Ikki Tousen: Xross Impact,,,0.06,,0.06
Ikusa Otome Valkyrie,,,,,
Illbleed,,,,,
Illusion of Gaia,,,0.13,,0.13
Illusions 360,,,,,
Illust Logic + Nihon no Mukashibanashi,,,,,
Illust Logic DS + Colorful Logic,,,,,
Ilya Muromets,,,,,
Ima Sugu Oniichan ni Imoto da tte Iitai!,,,0.01,,0.01
Ima wa Dono? Hyakka: Hyakkajiten Mypedia Yori,,,,,
Imabikisou,,,0.04,,0.04
Imabikisou: Kaimei Hen,,,,,
Imadoki no Vampire: Bloody Bride,,,,,
Image Fight,,,,,
Image Fight & X-Multiply,,,,,
Image Fight II,,,,,
Imagine Animal Doctor Care Center,0.05,,,0.0,0.05
Imagine Figure Skater (JP sales),,,0.01,,0.01
Imagine: Animal Doctor,0.45,0.48,,0.11,1.05
Imagine: Artist,0.05,,,0.0,0.05
Imagine: Babysitters,0.63,0.36,,0.1,1.09
Imagine: Babyz,1.3,1.26,,0.31,2.87
Imagine: Babyz Fashion,0.17,,,0.01,0.19
Imagine: Ballet Star,0.23,0.0,,0.02,0.25
Imagine: Boutique Owner,0.2,0.0,,0.01,0.21
Imagine: Champion Rider,,0.0,,0.0,0.0
Imagine: Champion Rider 2009,,0.0,,0.0,0.0
Imagine: Cheerleader,0.06,,,0.0,0.06
Imagine: Detective,0.14,0.01,,0.06,0.22
Imagine: Family Doctor,0.27,0.01,,0.02,0.3
Imagine: Fashion Designer,1.4300000000000002,1.21,,0.31,2.96
Imagine: Fashion Designer New York,0.65,0.32,,0.1,1.07
Imagine: Fashion Designer World Tour,0.27,,,0.02,0.29
Imagine: Fashion Party,0.24,0.0,,0.02,0.26
Imagine: Fashion Stylist,0.13,,,0.01,0.14
Imagine: Figure Skater (US sales),0.46,0.01,,,0.46
Imagine: Gymnast,0.05,0.01,,0.0,0.06
Imagine: Ice Champions,0.15,,,0.01,0.16
Imagine: Interior Designer,0.34,0.31,,0.08,0.72
Imagine: Makeup Artist,0.27,,,0.02,0.29
Imagine: Master Chef,0.39,0.91,,0.17,1.47
Imagine: Movie Star,0.31,0.0,,0.03,0.34
Imagine: Music Fest,0.14,,,0.01,0.16
Imagine: My Restaurant,,0.07,,0.01,0.08
Imagine: Party Babyz,0.33,0.02,,0.03,0.38
Imagine: Party Planner,0.05,0.0,,0.0,0.05
Imagine: Pet Hospital,,,,,
Imagine: Pet Vet in Australia,,,,,
Imagine: Reporter,0.08,0.01,,0.01,0.1
Imagine: Resort Owner,0.05,0.0,,0.0,0.06
Imagine: Rock Star,0.4,0.33,,0.09,0.81
Imagine: Salon Stylist,0.23,0.11,,0.03,0.37
Imagine: Soccer Captain,0.1,,,0.01,0.1
Imagine: Sweet 16,0.02,,,0.0,0.03
Imagine: Teacher,0.7,0.83,,0.19,1.71
Imagine: Teacher Class Trip,0.1,0.12,,0.02,0.24
Imagine: Wedding Designer,0.55,0.59,,0.14,1.28
Imagine: Zookeeper,0.15,0.06,,0.02,0.24
Imakara Hajimeru Facening: Kao Tora-Mini 1 - Sukkiri Kogoda Course,,,,,
Imakara Hajimeru Facening: Kao Tora-Mini 2 - Suteki na Egao Course,,,,,
Imakara Hajimeru Facening: Kao Tora-Mini 3 - Wakawakashii Kao Course,,,,,
Imakara Hajimeru Facening: Kao Tora-Mini 4 - Me to Ku no Kenkou Course,,,,,
Imakara Hajimeru Facening: Kao Tora-Mini 5 - Kao no Refresh Course,,,,,
Imasugu Tsukaeru Mamechishiki: Quiz Zatsugaku-Ou DS,,,,,
Imi Gawakaru Otona no Jukugo Renshuu: Kadokawa Ruigo Shinjiten Kara 5-Man Mon,,,,,
Immercenary,,,,,
Immortal Cities: Children of the Nile,,0.0,,0.0,0.0
Immortal Desire,,,,,
Immortal Redneck,,,,,
Immortal Unchained,0.06,,,0.01,0.07
Immune - True Survival,,,,,
Imouto Style,,,,,
Impact Racing,0.03,0.02,,0.0,0.06
Imperator: Rome,,,,,
Imperial Glory,,0.04,,0.0,0.04
Imperial SaGa,,,,,
Imperialism,,,,,
Imperialism II: The Age of Exploration,,,,,
Imperium,,,,,
Imperium Galactica,,,,,
Imperium Galactica II: Alliances,,,,,
Imperium Romanum,,0.01,,0.0,0.01
Imperium Romanum: Emperor Expansion,,,,,
Imperivm III: The Great Battles of Rome,,,,,
Impire,,,,,
Implosion,,,,,
Import Tuner Challenge (American sales),0.07,0.01,,0.01,0.09
Import Tuner Challenge (JP sales),,,0.01,,0.01
Impossamole,,,,,
Impossible Creatures,,0.01,,0.0,0.01
Impossible Mission,0.11,0.04,,0.02,0.18
Impossible Mission-II,,,,,
In Cold Blood,0.02,0.01,,0.0,0.03
In Space We Brawl,,,,,
In The Groove,0.04,0.03,,0.01,0.07
In Verbis Virtus,,,,,
In Your Face,,,,,
In the 1st Degree,,,,,
In the Hunt,0.03,0.02,0.07,0.01,0.14
In the Pit,,,,,
In the Valley of Gods,,,,,
InFAMOUS: First Light,,0.03,,0.0,0.03
InFAMOUS: Precinct Assault,,,,,
InMomentum,,,,,
Inazuma Eleven,,0.13,0.38,0.02,0.53
Inazuma Eleven 1-2-3!! Endou Mamoru Densetsu,,,,,
Inazuma Eleven 2: Blizzard / Firestorm,,,,,
Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard,,,1.18,,1.18
Inazuma Eleven 3: Lighting Bolt / Bomb Blast,,0.09,,0.01,0.09
Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,,,,,
Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,,,0.47,,0.47
Inazuma Eleven 3: Team Ogre Attacks!,,0.03,,0.0,0.03
Inazuma Eleven GO 3: Galaxy - Big Bang / Supernova,,,0.26,,0.26
Inazuma Eleven GO Strikers 2013,,,0.1,,0.1
Inazuma Eleven GO: Dark / Shine,,0.07,0.48,0.0,0.55
Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,,0.01,0.46,0.0,0.47
Inazuma Eleven Online,,,,,
Inazuma Eleven Strikers,,0.01,0.25,0.0,0.26
Inazuma Eleven Strikers 2012 Xtreme,,,0.19,,0.19
Inazuma Serve Da! Super Beach Volley,,,,,
IncaBlocks,,,,,
Incantation,,,,,
Inchworm Animation,,,,,
Incitement 3,,,,,
Incoming,,,,,
Incoming Forces,,,,,
Incoming!,,,,,
Incredible Crisis,0.04,0.03,,0.01,0.08
Incursion,,,,,
Inda 999,,,,,
Independence Day,0.25,0.17,,0.03,0.44
Independence War,,,,,
Independence War 2: Edge of Chaos,,,,,
Independence War: Deluxe Edition,,,,,
Indiana Jones and the Emperor's Tomb,0.14,0.04,,0.01,0.18
Indiana Jones and the Fate of Atlantis,,,,,
Indiana Jones and the Infernal Machine,,,,,
Indiana Jones and the Last Crusade,,,,,
Indiana Jones and the Last Crusade (Taito),,,,,
Indiana Jones and the Last Crusade (Ubi Soft),,,,,
Indiana Jones and the Last Crusade: The Action Game,,,,,
Indiana Jones and the Last Crusade: The Graphic Adventure,,,,,
Indiana Jones and the Staff of Kings,0.74,0.47,,0.3,1.51
Indiana Jones and the Temple of Doom (Mindscape),,,,,
Indiana Jones and the Temple of Doom (Tengen),,,,,
Indiana Jones in Revenge of the Ancients,,,,,
Indiana Jones' Greatest Adventures,,,,,
Indianapolis 500 Evolution,0.02,,,0.0,0.02
Indianapolis 500 Legends,0.2,,,0.02,0.22
Indigo Prophecy,0.14,0.11,,0.02,0.27
Indirian Solitaire,,,,,
Indivisible,,,,,
Industrial Spy: Operation Espionage,,,,,
Industry Empire,,,,,
Industry Giant,,,,,
Industry Giant II,,,,,
Industry Giant II Gold,,,,,
Industry Giant II: 1980-2020,,,,,
Indy 500,0.26,0.01,,0.0,0.27
Indy Racing 2000,0.08,0.02,,0.0,0.1
IndyCar Racing,,,,,
IndyCar Series,0.1,0.060000000000000005,,0.02,0.16999999999999998
Indycar Series 2005,0.06,0.02,,0.0,0.08
Inen no Yakata,,,,,
Inescapable,,,,,
Infected,0.14,0.0,,0.01,0.15
Infernal,,,,,
Infernal: Hell's Vengeance,0.06,0.01,,0.01,0.08
Inferno Climber,,,,,
Inferno Climber: Reborn,,,,,
Inferno Pool,,,,,
Inferno!,,,,,
Infestation,,,,,
Infested Planet,,,,,
Infidel,,,,,
Infiltrate,,,,,
Infiltrator,,,,,
Infinifactory,,,,,
Infinite Crisis,,,,,
Infinite Crosswords,,,,,
Infinite Loop: Kojjou ga Miseta Yume,,,0.01,,0.01
Infinite Minigolf,,,,,
Infinite Pics,,,,,
Infinite Space,0.06,0.05,0.07,0.01,0.2
Infinite Stratos 2: Ignition Hearts,,,0.06,,0.06
Infinite Stratos 2: Love and Purge,,,0.02,,0.02
Infinite Undiscovery,0.34,0.18,0.12,0.06,0.7
Infinity Plus,,,,,
Infinity Plus Portable,,,,,
Infinity Runner,,,,,
Influence,,,,,
Influent,,,,,
InfoGenius Productivity Pak: Frommer's Travel Guide,,,,,
InfoGenius Productivity Pak: Personal Organizer and Phone Book,,,,,
InfoGenius Productivity Pak: Spell Checker and Calculator,,,,,
Ingress,,,,,
Inherit the Earth: Quest for the Orb,,,,,
Inindo: Way of the Ninja,,,,,
Initial D,,,,,
Initial D Gaiden,,,,,
Initial D: Another Stage,,,,,
Initial D: Extreme Stage,,,0.08,,0.08
Initial D: Mountain Vengeance,,,,,
Initial D: Special Stage,,,0.27,,0.27
Initial D: Street Stage,,,0.1,,0.1
Initial D: Takahashi Ryosuke no Typing Saisoku Riron,,,,,
Injustice 2,1.53,0.7000000000000001,,0.38,2.61
Injustice: Gods Among Us,1.56,0.9600000000000001,0.01,0.37,2.9
Injustice: Gods Among Us Ultimate Edition,0.55,0.35,,0.2,1.1099999999999999
Inkheart,0.02,,,0.0,0.02
Inkoku no Ryohime,,,,,
Inner City Kids,,,,,
Inner Worlds,,,,,
InnerSpace,,,,,
Innocence Pain,,,,,
Innocent Colors: Canvas 2 Fan Disc,,,,,
Innocent Life: A Futuristic Harvest Moon,0.08,0.03,0.03,0.02,0.16
Innocent Life: A Futuristic Harvest Moon Special Edition,,,,,
Inoue Ryoko: Last Scene,,,,,
Inoue Ryoko: Roommate,,,,,
Insanely Twisted Shadow Planet,,,,,
Insaniquarium Deluxe,,,,,
Insanity's Blade,,,,,
Insect War,,,,,
Insecticide,0.06,,,0.01,0.06
Insector X,,,,,
Inside,,,,,
Inside Lacrosse's CL2010,,,,,
Inside My Radio,,,,,
Inside Trader: The Authentic Stock Trading Game,,,,,
Inside a Star-filled Sky,,,,,
Inside the Park Baseball,,,,,
Insmouse no Yakata,,,,,
Inspector Gadget,,,,,
Inspector Gadget Racing,0.0,0.0,,0.0,0.0
Inspector Gadget Recreabox,,,,,
Inspector Gadget: Advance Mission,,,,,
Inspector Gadget: Gadget's Crazy Maze,0.03,0.02,,0.0,0.05
Inspector Gadget: Mad Robots Invasion,,,,,
Inspector Gadget: Mission 1 Global Terror,,,,,
Inspector Gadget: Operation Madkactus,,,,,
Instant Brain,,,0.01,,0.01
Instant Dungeon!,,,,,
Instantion,,,,,
Insurgency,,,,,
Insurgency: Sandstorm,,,,,
Intelligent Qube,0.13,0.07,1.0,0.02,1.22
Intellivision Lives!,0.16,0.08,,0.02,0.27
Interactive Sampler Disc 6,0.08,0.05,,0.01,0.14
Interactive Storybook DS Series 1,0.06,,,0.0,0.07
Interactive Storybook DS Series 2,,,,,
Interactive Storybook DS Series 3,0.02,,,0.0,0.02
Intergalactic Bounty Hunter,,,,,
Intergalactic Bubbles,,,,,
Interloper,,,,,
Interlude,,,,,
Internal Invasion,,,,,
International Athletics,,0.0,,0.0,0.0
International Bridge Contractors,,,,,
International Cricket 2010,,0.27,,0.06,0.32
International Cricket Captain,,,,,
International Cricket Captain 2,,,,,
International Cricket Captain 2000,,,,,
International Cricket Captain 2001: Ashes Edition,,,,,
International Cricket Captain 2002,,,,,
International Cricket Captain 2006,,,,,
International Cricket Captain 2008,,0.0,,0.0,0.0
International Cricket Captain 2009,,0.01,,0.0,0.01
International Cricket Captain Ashes Edition 2006,,,,,
International Cricket Captain Ashes Year 2005,,,,,
International Cricket Captain III,,0.0,,0.0,0.0
International Karate,,,,,
International Karate +,,,,,
International Karate 2000,,,,,
International Karate Advanced,,,,,
International Moto-X,,,,,
International Rally,,,,,
International Sensible Soccer,,,,,
International Snooker,,,,,
International Snooker Championship,,,,,
International Soccer,0.18,0.01,,0.0,0.19
International Superstar Soccer,,,0.28,0.0,0.28
International Superstar Soccer '98,0.12,0.6,0.4,0.06,1.18
International Superstar Soccer 2,,,,,
International Superstar Soccer 2000,,,0.2,,0.2
International Superstar Soccer 2000 (All region sales),0.01,0.26,0.22,0.02,0.51
International Superstar Soccer 2000 (JP weekly sales),,,0.18,,0.18
International Superstar Soccer 3,,,,,
International Superstar Soccer 64,0.09,0.26,0.23,0.02,0.6
International Superstar Soccer 64 (weekly JP sales),,,0.05,0.05,0.1
International Superstar Soccer 99,,,,,
International Superstar Soccer Advance,,,,,
International Superstar Soccer Deluxe,,,0.16,0.0,0.16
International Superstar Soccer Pro '98,0.02,0.02,0.35,0.03,0.42
International Track & Field,0.08,0.05,0.35,0.03,0.51
International Track & Field 2000,0.06,0.04,,0.01,0.11
Internet Othello,,,,,
Interplay Sports Baseball 2000,0.03,0.02,,0.0,0.06
Interpol: The Trail of Dr. Chaos,,,,,
Interstate '76,,,,,
Interstate '82,,,,,
Interstellar Flames 2,,,,,
Interstellar Marines,,,,,
Into the Breach,,,,,
Into the Dark,,,,,
Into the Eagle's Nest,,,,,
Into the Stars,,,,,
Intralism,,,,,
Intrusion 2,,,,,
Inu Kaisha DS,,,,,
InuYasha,,,,,
InuYasha: A Feudal Fairy Tale,,,0.1,0.01,0.11
InuYasha: Feudal Combat,0.13,0.1,,0.03,0.27
InuYasha: Fuuun Emaki,,,,,
InuYasha: Kagome no Sengokuki,,,,,
InuYasha: Kagome no Yume Nikki,,,,,
InuYasha: Naraku no Wana! Mayoi no Mori no Shoutaijou,,,,,
InuYasha: Secret of the Divine Jewel,0.09,,,0.01,0.09
InuYasha: The Secret of the Cursed Mask,0.21,0.17,,0.06,0.43
Inugamike no Ichizoku,,,0.01,,0.01
Inukko Club,,,,,
Inusuki 2: Go Fetch!,,,,,
Invader,,,,,
Invasion Defender,,,,,
Invasion From Beyond,0.05,0.03,,0.01,0.09
Invasion of the Alien Blobs!,,,,,
Invasion: Brain Craving,,,,,
Inversion,0.06999999999999999,0.05,,0.02,0.14
Inverted,,,,,
Invincible Tiger: The Legend of Han Tao,,,,,
"Invisible, Inc.",,,,,
Invizimals,0.17,0.51,,0.11,0.79
Invizimals Hidden Challenges,,,,,
Invizimals: Battle of the Hunters,,,,,
Invizimals: Revolution,,,,,
Invizimals: Shadow Zone,0.05,0.16,,0.08,0.3
Invizimals: TV Tracker,,,,,
Invizimals: The Alliance,0.0,0.07,,0.02,0.09
Invizimals: The Lost Kingdom,,0.02,,0.0,0.02
Invizimals: The Lost Tribes,,0.08,,0.03,0.11
